PMID,miRNA,disease
30696075,hsa-mir-10a,Asthma
34553021,hsa-mir-10a,"Carcinoma, Renal Cell"
35137650,hsa-mir-10a,"Carcinoma, Non-Small-Cell Lung"
32542845,hsa-mir-10a,Pancreatic Carcinoma
32214905,hsa-mir-10a,Sepsis
31486485,hsa-mir-10a,Urinary Bladder Neoplasms
30798122,hsa-mir-10a,"Reperfusion Injury, Cerebral Ischemia"
30556849,hsa-mir-10a,"Carcinoma, Ovarian Epithelial"
35293774,hsa-mir-10a,Porcine Reproductive and Respiratory Syndrome
34336268,hsa-mir-10a,Carotid Artery Diseases
34187521,hsa-mir-10a,Lymphoma
34187521,hsa-mir-10a,"Leukemia-Lymphoma, Adult T-Cell"
33294296,hsa-mir-10a,Osteoarthritis
33294296,hsa-mir-10a,Synovitis
33165429,hsa-mir-10a,"Carcinoma, Squamous Cell, Cutaneous"
32016992,hsa-mir-10a,Liver Injury
32016992,hsa-mir-10a,Sepsis
31934035,hsa-mir-10a,Esophageal Squamous Cell Carcinoma
31832575,hsa-mir-10a,"Hepatitis C, Chronic"
31437523,hsa-mir-10a,"Enterocolitis, Necrotizing"
31353963,hsa-mir-10a,Inflammation
36804476,hsa-mir-10a,Colorectal Neoplasms
33014878,hsa-mir-10a,Ovarian Neoplasms
35300139,hsa-mir-190b,Myocardial Infarction
30407372,hsa-mir-190b,Muscular Atrophy
32505917,hsa-mir-29c,Lung Neoplasms
35954468,hsa-mir-29c,Breast Neoplasms
35433915,hsa-mir-29c,Epstein-Barr Virus Infections
36384413,hsa-mir-29c,Nerve Degeneration
35433915,hsa-mir-29c,Inflammatory Bowel Diseases
35954468,hsa-mir-29c,Muscular Dystrophies
32705167,hsa-mir-29c,Pain
36510038,hsa-mir-29c,Pancreatic Carcinoma
34696938,hsa-mir-29c,Oral Submucous Fibrosis
34558385,hsa-mir-29c,Pneumonia
33978322,hsa-mir-29c,Multiple Sclerosis
33070965,hsa-mir-29c,Leiomyoma
32990242,hsa-mir-29c,Urinary Bladder Neoplasms
31404595,hsa-mir-29c,"Hepatitis, Alcoholic"
31364127,hsa-mir-29c,Diabetes Mellitus
31364127,hsa-mir-29c,"Fibrosis, Renal"
31326971,hsa-mir-29c,"Carcinoma, Non-Small-Cell Lung"
31131409,hsa-mir-29c,Sjogren's Syndrome
30906331,hsa-mir-29c,Diabetic Nephropathies
30906331,hsa-mir-29c,Biliary Atresia
35416269,hsa-mir-29c,"Reperfusion Injury, Cerebral Ischemia"
31934035,hsa-mir-29c,Esophageal Squamous Cell Carcinoma
34633056,hsa-mir-29c,"Carcinoma, Hepatocellular"
34633056,hsa-mir-29c,Colorectal Neoplasms
34598322,hsa-mir-29c,"Carcinoma, Renal Cell"
34376255,hsa-mir-29c,Inflammation
34376255,hsa-mir-29c,Sepsis
32712875,hsa-mir-29c,Alzheimer Disease
30720136,hsa-mir-29c,Melanoma
30658067,hsa-mir-29c,"Carcinoma, Endometrioid"
34040415,hsa-mir-29c,Inflammatory Bowel Diseases
31213898,hsa-mir-29c,Stomach Neoplasms
36484007,hsa-mir-29c,Stomach Neoplasms
35340555,hsa-mir-29c,Osteosarcoma
33569427,hsa-mir-29c,Uterine Cervical Neoplasms
33251130,hsa-mir-29c,Meningioma
36081570,hsa-mir-564,Colorectal Neoplasms
33737811,hsa-mir-619,Colonic Neoplasms
36913151,hsa-mir-619,Pre-Eclampsia
30557872,hsa-mir-561,Lung Neoplasms
30557872,hsa-mir-561,Adenocarcinoma of Lung
35951458,hsa-mir-561,Multiple Myeloma
33479730,hsa-mir-921,Breast Neoplasms
30557872,hsa-mir-1293,Lung Neoplasms
30557872,hsa-mir-1293,Adenocarcinoma of Lung
31971830,hsa-mir-1293,"Carcinoma, Renal Cell"
31410122,hsa-mir-934,"Carcinoma, Non-Small-Cell Lung"
31410122,hsa-mir-934,"Carcinoma, Small Cell"
31938232,hsa-mir-520d,Lung Neoplasms
31938232,hsa-mir-520d,Osteosarcoma
35730141,hsa-mir-520d,"Aortic Aneurysm, Thoracic"
36730426,hsa-mir-520d,Colorectal Neoplasms
33732332,hsa-mir-874,Polycystic Ovary Syndrome
36266695,hsa-mir-874,Osteosarcoma
35317822,hsa-mir-874,Endometrial Neoplasms
35282764,hsa-mir-874,Stomach Neoplasms
34818977,hsa-mir-874,Osteoporosis
33625798,hsa-mir-874,Multiple Myeloma
33025624,hsa-mir-874,Uterine Cervical Neoplasms
36519522,hsa-mir-874,Colorectal Neoplasms
35280407,hsa-mir-874,Intervertebral Disc Degeneration
34178027,hsa-mir-874,Intervertebral Disc Degeneration
31914690,hsa-mir-874,Diabetes Mellitus
31914690,hsa-mir-874,Erectile Dysfunction
35205327,hsa-mir-874,"Carcinoma, Hepatocellular"
33913264,hsa-mir-874,Diabetes Mellitus
33913264,hsa-mir-874,Retinal Diseases
31966712,hsa-mir-874,Stomach Neoplasms
34237642,hsa-mir-133a,Inflammation
35958914,hsa-mir-133a,Cardiovascular Diseases
36457028,hsa-mir-133a,Uterine Cervical Neoplasms
36529281,hsa-mir-133a,Bloom Syndrome
33387208,hsa-mir-133a,Cervical Intraepithelial Neoplasia
36077031,hsa-mir-133a,"Fibrosis, Atrial"
34713296,hsa-mir-133a,Breast Neoplasms
33531645,hsa-mir-133a,Squamous Cell Carcinoma of Head and Neck
31623833,hsa-mir-133a,Hyperglycemia
31381269,hsa-mir-133a,Glioma
30932200,hsa-mir-133a,Uterine Cervical Neoplasms
30810894,hsa-mir-133a,Digestive System Neoplasms
30458455,hsa-mir-133a,"Carcinoma, Non-Small-Cell Lung"
34226535,hsa-mir-133a,Hypertrophy
31972363,hsa-mir-133a,Reperfusion Injury
31972363,hsa-mir-133a,Heart Injuries
31532132,hsa-mir-133a,Muscular Atrophy
30693518,hsa-mir-133a,Pancreatic Carcinoma
32251712,hsa-mir-133a,Obesity
32130618,hsa-mir-133a,Atrial Fibrillation
30678736,hsa-mir-133a,Colorectal Neoplasms
30537034,hsa-mir-133a,Esophageal Squamous Cell Carcinoma
35937000,hsa-mir-133a,Myocardial Reperfusion Injury
35327465,hsa-mir-133a,Squamous Cell Carcinoma of Head and Neck
32542098,hsa-mir-133a,Retinoblastoma
35912960,hsa-mir-133a,Squamous Cell Carcinoma of Head and Neck
34295552,hsa-mir-133a,Stomach Neoplasms
35012539,hsa-mir-133a,Ovarian Neoplasms
33907567,hsa-mir-133a,"Carcinoma, Non-Small-Cell Lung"
34111659,hsa-mir-26a,Kidney Diseases
30657563,hsa-mir-26a,Squamous Cell Carcinoma of Head and Neck
31887787,hsa-mir-26a,Drug-Related Side Effects and Adverse Reactions
32170604,hsa-mir-26a,Myocardial Infarction
31887787,hsa-mir-26a,Acute Kidney Injury
32464547,hsa-mir-26a,Myocardial Ischemia
34311651,hsa-mir-26a,Nerve Degeneration
34101281,hsa-mir-26a,Hemorrhage
31480202,hsa-mir-26a,Progeria
36522638,hsa-mir-26a,Parvoviridae Infections
31313025,hsa-mir-26a,Pseudarthrosis
35948893,hsa-mir-26a,Uterine Cervical Neoplasms
35491874,hsa-mir-26a,Acute Kidney Injury
35491874,hsa-mir-26a,Sepsis
33744438,hsa-mir-26a,Nasopharyngeal Carcinoma
33407724,hsa-mir-26a,"Carcinoma, Non-Small-Cell Lung"
33337348,hsa-mir-26a,"Carcinoma, Renal Cell"
32799221,hsa-mir-26a,Colorectal Neoplasms
32453410,hsa-mir-26a,Osteosarcoma
32433053,hsa-mir-26a,Pancreatic Carcinoma
32096148,hsa-mir-26a,Stomach Neoplasms
31858580,hsa-mir-26a,"Carcinoma, Hepatocellular"
31697952,hsa-mir-26a,Colonic Neoplasms
31570091,hsa-mir-26a,"Carcinoma, Hepatocellular"
35957809,hsa-mir-26a,Non-alcoholic Fatty Liver Disease
33240671,hsa-mir-26a,Cardiomegaly
32580945,hsa-mir-26a,Diabetic Nephropathies
30988663,hsa-mir-26a,Osteosarcoma
31516391,hsa-mir-26a,Colorectal Neoplasms
31798828,hsa-mir-26a,Osteosarcoma
35163214,hsa-mir-26a,"Depressive Disorder, Major"
35077860,hsa-mir-26a,Pancreatitis
34850451,hsa-mir-26a,Coronary Disease
34232796,hsa-mir-26a,Penile Neoplasms
33857357,hsa-mir-26a,"Cicatrix, Hypertrophic"
32379493,hsa-mir-26a,Colorectal Neoplasms
31298396,hsa-mir-26a,Asthma
32395334,hsa-mir-26a,"Lupus Erythematosus, Systemic"
32368147,hsa-mir-26a,Laryngeal Neoplasms
31593640,hsa-mir-26a,Obstructive   Kidney Disease
31593640,hsa-mir-26a,"Fibrosis, Renal"
31363368,hsa-mir-26a,Pancreatitis
31267533,hsa-mir-26a,"Arthritis, Rheumatoid"
31267533,hsa-mir-26a,Cartilage Diseases
31264214,hsa-mir-26a,Cerebral Palsy
31264214,hsa-mir-26a,Brain Injuries
31123414,hsa-mir-26a,Myocarditis
30964179,hsa-mir-26a,"Respiratory Distress Syndrome, Newborn"
30872407,hsa-mir-26a,Osteoarthritis
30872407,hsa-mir-26a,Cartilage Diseases
30983885,hsa-mir-26a,Colorectal Neoplasms
33622363,hsa-mir-26a,Colorectal Neoplasms
33614238,hsa-mir-26a,Pre-Eclampsia
35992869,hsa-mir-26a,Osteosarcoma
35783137,hsa-mir-26a,Alzheimer Disease
35201478,hsa-mir-26a,Pancreatic Neoplasms
33816494,hsa-mir-26a,Osteosarcoma
33747224,hsa-mir-26a,Breast Neoplasms
36478207,hsa-mir-494,"Pneumonia, Mycoplasma"
33594251,hsa-mir-494,Colitis
34602449,hsa-mir-494,Premature Birth
35818268,hsa-mir-494,Uterine Cervical Neoplasms
35541917,hsa-mir-494,"Carcinoma, Hepatocellular"
32372307,hsa-mir-494,Breast Neoplasms
32132611,hsa-mir-494,Breast Neoplasms
31881378,hsa-mir-494,Arthritis
31686763,hsa-mir-494,Pancreatic Carcinoma
31069607,hsa-mir-494,"Cicatrix, Hypertrophic"
30562741,hsa-mir-494,Hemangioma
30551480,hsa-mir-494,Esophageal Squamous Cell Carcinoma
35966295,hsa-mir-494,Sepsis-Associated Encephalopathy
34664412,hsa-mir-494,"Reperfusion Injury, Hepatic Ischemia"
32413360,hsa-mir-494,Hypospadias
32229486,hsa-mir-494,Esophageal Neoplasms
32229486,hsa-mir-494,Esophageal Squamous Cell Carcinoma
30599248,hsa-mir-494,Intervertebral Disc Degeneration
35904444,hsa-mir-494,Fanconi Anemia
35038704,hsa-mir-494,Diabetic Nephropathies
33461161,hsa-mir-494,"Pulmonary Disease, Chronic Obstructive"
33094608,hsa-mir-494,"Liver Diseases, Alcoholic"
36062277,hsa-mir-494,"Carcinoma, Hepatocellular"
34735003,hsa-mir-494,Pulmonary Fibrosis
34094954,hsa-mir-494,Prostatic Neoplasms
33663500,hsa-mir-494,Acute Kidney Injury
33663500,hsa-mir-494,Reperfusion Injury
32830547,hsa-mir-128,Osteoarthritis
32830547,hsa-mir-128,Inflammation
35900049,hsa-mir-128,Fibrosis
34384932,hsa-mir-128,"Diabetes Mellitus, Type 2"
34384932,hsa-mir-128,Metabolic Diseases
34384932,hsa-mir-128,Obesity
36250437,hsa-mir-128,Epilepsy
35523945,hsa-mir-128,Leigh Disease
31985779,hsa-mir-128,Peri-Implantitis
36255066,hsa-mir-128,Squamous Cell Carcinoma of Head and Neck
35486287,hsa-mir-128,Breast Neoplasms
35187800,hsa-mir-128,Pre-Eclampsia
35186455,hsa-mir-128,Pancreatic Carcinoma
34092219,hsa-mir-128,Sepsis
34092219,hsa-mir-128,Acute Lung Injury
34051661,hsa-mir-128,Prostatic Neoplasms
34007135,hsa-mir-128,Pancreatic Carcinoma
33760158,hsa-mir-128,Uterine Cervical Neoplasms
32558224,hsa-mir-128,Breast Neoplasms
30894138,hsa-mir-128,Atrial Fibrillation
30894138,hsa-mir-128,"Fibrosis, Atrial"
35587748,hsa-mir-128,Colorectal Neoplasms
35358540,hsa-mir-128,Gastrointestinal Stromal Tumors
34430706,hsa-mir-128,Sepsis
34430706,hsa-mir-128,Acute Lung Injury
33373887,hsa-mir-128,Neuralgia
33373887,hsa-mir-128,Spinal Cord Injuries
32500307,hsa-mir-128,Sepsis
32500307,hsa-mir-128,Acute Kidney Injury
32270599,hsa-mir-128,Acute Kidney Injury
31720660,hsa-mir-128,Myocarditis
35908276,hsa-mir-128,Prostatic Neoplasms
33848670,hsa-mir-128,Esophageal Squamous Cell Carcinoma
33167678,hsa-mir-128,Lung Neoplasms
32196624,hsa-mir-128,Atherosclerosis
31898842,hsa-mir-128,Ovarian Neoplasms
31898842,hsa-mir-128,Colorectal Neoplasms
31477582,hsa-mir-128,Osteoporosis
30551451,hsa-mir-128,Thyroid Neoplasms
30537735,hsa-mir-128,Parkinson Disease
32422575,hsa-mir-128,Pancreatic Carcinoma
31923740,hsa-mir-128,Cardiomegaly
31902745,hsa-mir-128,Reperfusion Injury
30701536,hsa-mir-128,Coronary Disease
31966793,hsa-mir-128,Thyroid Neoplasms
33622363,hsa-mir-128,Colorectal Neoplasms
36880288,hsa-mir-128,Alzheimer Disease
35000531,hsa-mir-128,Stomach Neoplasms
30633243,hsa-mir-196a-2,Myocardial Infarction
31026342,hsa-mir-200,Squamous Cell Carcinoma of Head and Neck
31026342,hsa-mir-200,Mouth Neoplasms
35465051,hsa-mir-200,"Graft Occlusion, Vascular"
35456497,hsa-mir-200,Breast Neoplasms
34736391,hsa-mir-200,Kidney Diseases
32550898,hsa-mir-200,Head and Neck Neoplasms
31073887,hsa-mir-200,Endometrial Neoplasms
30720134,hsa-mir-200,Pancreatic Carcinoma
35917938,hsa-mir-200,Drug-Induced Kidney Injury
35579073,hsa-mir-200,Myocardial Reperfusion Injury
34179313,hsa-mir-200,"Carcinoma, Hepatocellular"
33541373,hsa-mir-200,Breast Neoplasms
35647200,hsa-mir-671,Osteoarthritis
36515797,hsa-mir-671,Aicardi-Goutieres syndrome 5
35111054,hsa-mir-671,Proteinuria
36734072,hsa-mir-671,Alzheimer Disease
31686521,hsa-mir-671,"Carcinoma, Renal Cell"
35359242,hsa-mir-671,Ischemic Stroke
35359242,hsa-mir-671,Parkinson Disease
32978168,hsa-mir-671,Lung Neoplasms
32115852,hsa-mir-671,Osteosarcoma
36267792,hsa-mir-671,"Thyroid Cancer, Papillary"
33842379,hsa-mir-671,Pancreatic Neoplasms
34708454,hsa-mir-130a,Vascular Diseases
30741461,hsa-mir-130a,Esophageal Neoplasms
32329288,hsa-mir-130a,Hypertrophy
34708454,hsa-mir-130a,Chronic Disease
34708454,hsa-mir-130a,Mycobacterium avium-intracellulare Infection
34708454,hsa-mir-130a,Craniocerebral Trauma
36793108,hsa-mir-130a,"Carcinoma, Non-Small-Cell Lung"
34728310,hsa-mir-130a,Glioma
33954190,hsa-mir-130a,Cervical Intraepithelial Neoplasia
33727043,hsa-mir-130a,Breast Neoplasms
32450163,hsa-mir-130a,"Carcinoma, Non-Small-Cell Lung"
32046751,hsa-mir-130a,Ovarian Neoplasms
31706574,hsa-mir-130a,Osteosarcoma
35812732,hsa-mir-130a,Papillomavirus Infections
35720932,hsa-mir-130a,"Diabetes Mellitus, Type 2"
33482824,hsa-mir-130a,"Carcinoma, Renal Cell"
33360969,hsa-mir-130a,Neuralgia
33360969,hsa-mir-130a,Spinal Cord Injuries
33083112,hsa-mir-130a,Breast Neoplasms
32972352,hsa-mir-130a,Breast Neoplasms
30657566,hsa-mir-130a,Glioma
36601671,hsa-mir-130a,Inflammation
33408482,hsa-mir-130a,"Carcinoma, Hepatocellular"
32627090,hsa-mir-130a,Ischemic Stroke
32627090,hsa-mir-130a,Brain Ischemia
36578092,hsa-mir-130a,Breast Neoplasms
34498594,hsa-mir-130a,Atherosclerosis
33824300,hsa-mir-130a,Gastrointestinal Diseases
33766507,hsa-mir-130a,"Carcinoma, Squamous Cell, Cutaneous"
32987507,hsa-mir-130a,Breast Neoplasms
32862616,hsa-mir-130a,Urinary Bladder Neoplasms
31210323,hsa-mir-130a,Cerebral Hemorrhage
31733099,hsa-mir-130a,Polycystic Ovary Syndrome
31040894,hsa-mir-130a,Stomach Neoplasms
31692045,hsa-mir-130a,"Thyroid Cancer, Papillary"
35619625,hsa-mir-130a,Breast Neoplasms
35187064,hsa-mir-130a,Rhabdomyosarcoma
34863180,hsa-mir-130a,"Carcinoma, Non-Small-Cell Lung"
34430707,hsa-mir-130a,Parkinson Disease
32104945,hsa-mir-545,Inflammation
35260044,hsa-mir-545,"Carcinoma, Non-Small-Cell Lung"
35038619,hsa-mir-545,"Carcinoma, Non-Small-Cell Lung"
36612120,hsa-mir-545,"Carcinoma, Renal Cell"
35592246,hsa-mir-545,"Carcinoma, Hepatocellular"
32190002,hsa-mir-545,"Carcinoma, Non-Small-Cell Lung"
32213297,hsa-mir-545,Colonic Neoplasms
34863152,hsa-mir-545,Nasopharyngeal Carcinoma
34539867,hsa-mir-545,Osteosarcoma
34289449,hsa-mir-545,Triple Negative Breast Neoplasms
32626753,hsa-mir-545,Stomach Neoplasms
33928018,hsa-mir-545,Urinary Bladder Neoplasms
34040388,hsa-mir-545,Neuroblastoma
34296485,hsa-mir-10,Benign Paroxysmal Positional Vertigo
31564215,hsa-mir-10,Colonic Neoplasms
34950131,hsa-mir-10,White Spot Syndrome Virus  Infection
35778520,hsa-mir-10,"Carcinoma, Hepatocellular"
31548493,hsa-mir-326,Osteosarcoma
31548493,hsa-mir-326,Melanoma
31548493,hsa-mir-326,"Carcinoma, Hepatocellular"
32336203,hsa-mir-326,"Sarcoma, Ewing"
32255479,hsa-mir-326,Renal Insufficiency
36327779,hsa-mir-326,"Carcinoma, Non-Small-Cell Lung"
35408903,hsa-mir-326,Colorectal Neoplasms
34152928,hsa-mir-326,Breast Neoplasms
33928608,hsa-mir-326,Squamous Cell Carcinoma of Head and Neck
33760216,hsa-mir-326,"Thyroid Cancer, Papillary"
33210403,hsa-mir-326,Endometrial Neoplasms
33044324,hsa-mir-326,Neuroblastoma
32968928,hsa-mir-326,Parkinson Disease
32743904,hsa-mir-326,Osteosarcoma
32495883,hsa-mir-326,Triple Negative Breast Neoplasms
32493389,hsa-mir-326,"Carcinoma, Non-Small-Cell Lung"
32228617,hsa-mir-326,"Hypoxia-Ischemia, Brain, Newborn"
31972179,hsa-mir-326,Cardiomegaly
31838741,hsa-mir-326,"Carcinoma, Hepatocellular"
31642316,hsa-mir-326,Silicotuberculosis
31114192,hsa-mir-326,"Carcinoma, Endometrioid"
30528736,hsa-mir-326,Adenocarcinoma of Lung
30456527,hsa-mir-326,"Lupus Erythematosus, Systemic"
34741930,hsa-mir-326,Pulmonary Fibrosis
33293866,hsa-mir-326,Adenocarcinoma of Lung
32774154,hsa-mir-326,"Carcinoma, Hepatocellular"
31385301,hsa-mir-326,Alzheimer Disease
31270675,hsa-mir-326,Parkinson Disease
32831924,hsa-mir-326,"Carcinoma, Non-Small-Cell Lung"
34257656,hsa-mir-326,Stomach Neoplasms
34135597,hsa-mir-326,Breast Neoplasms
33996547,hsa-mir-326,Stomach Neoplasms
33987473,hsa-mir-326,Lung Neoplasms
33907581,hsa-mir-326,Liver Neoplasms
33580459,hsa-mir-326,Precursor Cell Lymphoblastic Leukemia-Lymphoma
34115526,hsa-mir-326,Myocardial Infarction
31617275,hsa-mir-26,Stomach Neoplasms
35327430,hsa-mir-26,Pulmonary Arterial Hypertension
35327430,hsa-mir-26,"Scleroderma, Systemic"
31085161,hsa-mir-193a,Kidney Diseases
32318575,hsa-mir-193a,Necrobiotic Disorders
32318575,hsa-mir-193a,"Autoimmune polyendocrinopathy syndrome, type 1"
36071682,hsa-mir-193a,AIDS-Related Complex
32318575,hsa-mir-193a,Ape Diseases
36327779,hsa-mir-193a,"Carcinoma, Non-Small-Cell Lung"
31150989,hsa-mir-193a,"Carcinoma, Non-Small-Cell Lung"
30744607,hsa-mir-193a,Pulmonary Fibrosis
30707636,hsa-mir-193a,"Leukemia, Myeloid, Acute"
34712553,hsa-mir-193a,Chordoma
36289041,hsa-mir-193a,Breast Neoplasms
36127622,hsa-mir-193a,Triple Negative Breast Neoplasms
35487027,hsa-mir-193a,Adenocarcinoma of Lung
34783160,hsa-mir-193a,Melanoma
33760216,hsa-mir-193a,"Thyroid Cancer, Papillary"
33655711,hsa-mir-193a,Stomach Neoplasms
35284121,hsa-mir-193a,Colorectal Neoplasms
34671432,hsa-mir-193a,Adenocarcinoma of Lung
30506718,hsa-mir-193a,Colonic Neoplasms
34670670,hsa-mir-193a,Asthma
32705210,hsa-mir-193a,Thyroid Neoplasms
32432735,hsa-mir-193a,Urinary Bladder Neoplasms
31210318,hsa-mir-193a,"Arthritis, Rheumatoid"
30773530,hsa-mir-193a,Nasopharyngeal Neoplasms
30685413,hsa-mir-193a,"Carcinoma, Non-Small-Cell Lung"
32095323,hsa-mir-193a,"Carcinoma, Hepatocellular"
31632562,hsa-mir-193a,Inflammation
36920044,hsa-mir-193a,Colorectal Neoplasms
36276285,hsa-mir-193a,Pancreatic Neoplasms
35517889,hsa-mir-193a,Stomach Neoplasms
34335753,hsa-mir-193a,Stomach Neoplasms
33071785,hsa-mir-193a,Melanoma
33296289,hsa-mir-486a,Kidney Diseases
32149094,hsa-mir-251,Hyperglycemia
32982404,hsa-mir-148a,Colorectal Neoplasms
32982404,hsa-mir-148a,Drug Hypersensitivity
32253249,hsa-mir-148a,"Mycobacterium Infections, Nontuberculous"
32525017,hsa-mir-148a,Endometriosis
31473306,hsa-mir-148a,"Scapuloperoneal Myopathy, X-Linked Dominant"
32235846,hsa-mir-148a,Stomach Neoplasms
32534026,hsa-mir-148a,Tembusu virus
36606668,hsa-mir-148a,Uterine Cervical Neoplasms
36266384,hsa-mir-148a,Squamous Cell Carcinoma of Head and Neck
34560556,hsa-mir-148a,Colorectal Neoplasms
34455220,hsa-mir-148a,Stomach Neoplasms
34082012,hsa-mir-148a,"Carcinoma, Non-Small-Cell Lung"
33741494,hsa-mir-148a,"Carcinoma, Hepatocellular"
33208781,hsa-mir-148a,Esophageal Squamous Cell Carcinoma
30872332,hsa-mir-148a,Turcot syndrome
30806335,hsa-mir-148a,Breast Neoplasms
30627542,hsa-mir-148a,Uterine Cervical Neoplasms
30417784,hsa-mir-148a,Breast Neoplasms
35984595,hsa-mir-148a,"Fibrosis, Atrial"
35712476,hsa-mir-148a,Pancreatic Carcinoma
34391823,hsa-mir-148a,Ischemic Stroke
33011404,hsa-mir-148a,Choroidal Neovascularization
36195937,hsa-mir-148a,Cardiomegaly
35868335,hsa-mir-148a,Prostatic Neoplasms
34836544,hsa-mir-148a,Ovarian Neoplasms
34022583,hsa-mir-148a,Ischemic Stroke
33486611,hsa-mir-148a,"Thyroid Carcinoma, Anaplastic"
33356812,hsa-mir-148a,Colonic Neoplasms
33356812,hsa-mir-148a,Colitis
31378889,hsa-mir-148a,Esophageal Squamous Cell Carcinoma
30944375,hsa-mir-148a,Liver Neoplasms
30865310,hsa-mir-148a,"Carcinoma, Hepatocellular"
30834693,hsa-mir-148a,Colorectal Neoplasms
35027936,hsa-mir-148a,Intervertebral Disc Degeneration
33570057,hsa-mir-148a,"Carcinoma, Hepatocellular"
32234517,hsa-mir-148a,Hypercholesterolemia
31289511,hsa-mir-148a,Ovarian Neoplasms
31949571,hsa-mir-148a,Pancreatic Carcinoma
32582976,hsa-mir-148a,"Liver Cirrhosis, Alcoholic"
35997665,hsa-mir-148a,Colonic Neoplasms
35892859,hsa-mir-148a,Breast Neoplasms
34257725,hsa-mir-148a,Uterine Cervical Neoplasms
34184082,hsa-mir-3074,"Arthritis, Rheumatoid"
33902658,hsa-mir-3074,Triple Negative Breast Neoplasms
30448733,hsa-mir-224,Colorectal Neoplasms
31938100,hsa-mir-224,"Hepatitis B, Chronic"
36162418,hsa-mir-224,Polycystic Ovary Syndrome
35682879,hsa-mir-224,Osteosarcoma
35275522,hsa-mir-224,"Carcinoma, Non-Small-Cell Lung"
33172486,hsa-mir-224,Stomach Neoplasms
31966887,hsa-mir-224,"Carcinoma, Hepatocellular"
34716872,hsa-mir-224,Glioma
33247967,hsa-mir-224,Melanoma
31767633,hsa-mir-224,"Carcinoma, Renal Cell"
34381729,hsa-mir-224,Stomach Neoplasms
30569180,hsa-mir-224,Astrocytoma
30569180,hsa-mir-224,Glioblastoma
35217336,hsa-mir-224,Cardiomyopathies
35126724,hsa-mir-224,"Carcinoma, Hepatocellular"
34408438,hsa-mir-224,Lung Neoplasms
34084220,hsa-mir-224,Breast Neoplasms
31899825,hsa-mir-520b,Mouth Neoplasms
33747283,hsa-mir-520b,Gallbladder Neoplasms
32355540,hsa-mir-520b,Liver Neoplasms
33572095,hsa-mir-146b,"Diabetes Mellitus, Type 2"
36033389,hsa-mir-146b,Breast Neoplasms
34746996,hsa-mir-146b,Pituitary Neoplasms
34610483,hsa-mir-146b,Cholangiocarcinoma
34602057,hsa-mir-146b,Inflammation
34602057,hsa-mir-146b,Respiratory Distress Syndrome
33844600,hsa-mir-146b,"Sarcoma, Ewing"
33804111,hsa-mir-146b,"Thyroid Cancer, Papillary"
33677577,hsa-mir-146b,Crohn Disease
33398982,hsa-mir-146b,Lung Carcinoid
32840137,hsa-mir-146b,"Anemia, Aplastic"
32406793,hsa-mir-146b,Gallbladder Neoplasms
32037949,hsa-mir-146b,"Thyroid Cancer, Papillary"
31319799,hsa-mir-146b,Leiomyoma
31099048,hsa-mir-146b,Nasopharyngeal Carcinoma
36423383,hsa-mir-146b,Thyroid Neoplasms
34741343,hsa-mir-146b,Neurodevelopmental Injuries
32801860,hsa-mir-146b,Breast Neoplasms
34118183,hsa-mir-146b,"Dwarfism, Pituitary"
33327874,hsa-mir-146b,Squamous Cell Carcinoma of Head and Neck
32824921,hsa-mir-146b,"Adenocarcinoma, Follicular"
32710276,hsa-mir-146b,Lupus Nephritis
31441000,hsa-mir-146b,Stomach Neoplasms
33273850,hsa-mir-146b,Breast Neoplasms
30679990,hsa-mir-146b,Myocardial Infarction
31071529,hsa-mir-146b,Urinary Bladder Neoplasms
34332611,hsa-mir-146b,Urinary Bladder Neoplasms
33995647,hsa-mir-146b,Pancreatic Neoplasms
33489905,hsa-mir-146b,Thyroid Neoplasms
33489878,hsa-mir-146b,Thyroid Neoplasms
32346414,hsa-mir-146b,Neuroblastoma
34118875,hsa-mir-1275,Tracheal Stenosis
33910530,hsa-mir-1275,Breast Neoplasms
31683462,hsa-mir-1275,Breast Neoplasms
36290289,hsa-mir-1275,"Carcinoma, Hepatocellular"
35959437,hsa-mir-8485,Ovarian Neoplasms
34669152,hsa-mir-298,COVID-19
30935924,hsa-mir-298,Adrenal Cortex Neoplasms
31138376,hsa-mir-298,Myocardial Ischemia
32218846,hsa-mir-298,Thyroid Neoplasms
36052873,hsa-mir-216a,Inflammation
31059054,hsa-mir-216a,Cardiomyopathies
33363153,hsa-mir-216a,"Sarcoma, Ewing"
34476924,hsa-mir-216a,Bronchopneumonia
34476924,hsa-mir-216a,Respiratory Tract Infections
34948431,hsa-mir-216a,Colonic Neoplasms
33759343,hsa-mir-216a,Pancreatic Carcinoma
33377748,hsa-mir-216a,"Lymphoma, Large B-Cell, Diffuse"
32140823,hsa-mir-216a,Parkinson Disease
32060632,hsa-mir-216a,Urinary Bladder Neoplasms
31784954,hsa-mir-216a,Acute Lung Injury
31389597,hsa-mir-216a,"Carcinoma, Non-Small-Cell Lung"
34354391,hsa-mir-216a,Asthma
33628024,hsa-mir-216a,"Dementia, Vascular"
31933751,hsa-mir-216a,Diabetic Nephropathies
31367007,hsa-mir-216a,Pancreatic Carcinoma
31354295,hsa-mir-216a,Colorectal Neoplasms
31114219,hsa-mir-216a,Glioma
33023331,hsa-mir-216a,"Carcinoma, Non-Small-Cell Lung"
32860589,hsa-mir-216a,Squamous Cell Carcinoma of Head and Neck
